Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Product URL
Transcend SSD370S (SM2242EN + Micron 16nm),32 GB 64 GB 128 GB 256 GB 512 GB 1 TB,MLC,2.5,SATA 6 Gbps,2015,SM2246EN,Yes,https://www.techpowerup.com/ssd-specs/transcend-ssd370s-1-tb.d1236
Valve Steam Deck SSD,256 GB 512 GB,TLC,M.2 2230,PCIe 3.0 x4,2022,Phison E13T,HMB,https://www.techpowerup.com/ssd-specs/valve-steam-deck-ssd-512-gb.d800
VisionTek DLX4 Pro,512 GB 1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 4.0 x4,2023,IG5236,Yes,https://www.techpowerup.com/ssd-specs/visiontek-dlx4-pro-1-tb.d1482
Wicgtyp NV940,512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,SM2269XT,HMB,https://www.techpowerup.com/ssd-specs/wicgtyp-nv940-1-tb.d1356
XPG Atom 50 (IG5220),1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5220,HMB,https://www.techpowerup.com/ssd-specs/xpg-atom-50-1-tb.d479
XPG Atom 50 (SM2269XT),1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,SM2269XT,HMB,https://www.techpowerup.com/ssd-specs/xpg-atom-50-1-tb.d883
XPG Gammix S10,128 GB 256 GB 512 GB 1 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2260,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s10-1-tb.d152
XPG Gammix S11 Pro,256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2019,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s11-pro-1-tb.d147
XPG Gammix S11 Pro (SM2262ENG + Micron B27B),1 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s11-pro-1-tb.d1563
XPG Gammix S41 Tuf (Micron B16A),256 GB 512 GB 1 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s41-tuf-1-tb.d973
XPG Gammix S41 Tuf (Micron B17A),256 GB 512 GB 1 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s41-tuf-1-tb.d971
XPG Gammix S41 Tuf (Samsung V4),256 GB 512 GB 1 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s41-tuf-1-tb.d130
XPG Gammix S5,256 GB 512 GB 1 TB 2 TB,Unknown,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,https://www.techpowerup.com/ssd-specs/xpg-gammix-s5-1-tb.d159
XPG Gammix S50,1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s50-1-tb.d124
XPG Gammix S50 Lite (Micron B27B),1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2020,SM2267,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s50-lite-1-tb.d931
XPG Gammix S50 Lite (Micron B47R),1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,SM2267,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s50-lite-1-tb.d126
XPG Gammix S60 (Phison E21T + SK Hynix V7 512Gb),512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E21T,HMB,https://www.techpowerup.com/ssd-specs/xpg-gammix-s60-1-tb.d2075
XPG Gammix S60 (SM2269XT + Micron B47R),512 GB,TLC,M.2 2280,PCIe 4.0 x4,2024,SM2269XT,HMB,https://www.techpowerup.com/ssd-specs/xpg-gammix-s60-512-gb.d2225
