Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
Lexar NM800,512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7400/5800 MB/s,400000/750000 IOPS,3000TBW,https://www.techpowerup.com/ssd-specs/lexar-nm800-1-tb.d579
Lexar NM800 Pro,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7500/6300 MB/s,1000000/1100000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/lexar-nm800-pro-1-tb.d874
Lexar NM800 Pro (w/ Heatsink),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7500/6300 MB/s,1000000/1100000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/lexar-nm800-pro-w-heatsink-1-tb.d872
Lexar NQ100,240GB 480GB 960GB,QLC,2.5,SATA 6 Gbps,2021,MAS0902A-B2C,No,550/480 MB/s,Unknown IOPS,336TBW,https://www.techpowerup.com/ssd-specs/lexar-nq100-960-gb.d600
Lexar NQ790,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,7000/6000 MB/s,800000/600000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/lexar-nq790-1-tb.d2091
Lexar NS100 (Marvell 88NV1120 + Micron B16),256GB 512GB,TLC,2.5,SATA 6 Gbps,2018,88NV1120,No,520/520 MB/s,Unknown IOPS,256TBW,https://www.techpowerup.com/ssd-specs/lexar-ns100-512-gb.d599
Lexar NS100 (MAS1102B + YMTC CDT1B X2-9060),256GB 512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2023,MAS1102B-B1C,No,520/520 MB/s,Unknown IOPS,512TBW,https://www.techpowerup.com/ssd-specs/lexar-ns100-1-tb.d2303
Lexar NS200,240GB 480GB 960GB,TLC,2.5,SATA 6 Gbps,2018,SM2258H,Yes,560/510 MB/s,95000/91000 IOPS,480TBW,https://www.techpowerup.com/ssd-specs/lexar-ns200-960-gb.d596
Lexar Play,1TB,TLC,M.2 2230,PCIe 4.0 x4,2023,SM2269XT,HMB,5200/4700 MB/s,800000/800000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/lexar-play-1-tb.d1818
Lexar Play,4TB,TLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,7400/6500 MB/s,Unknown IOPS,3200TBW,https://www.techpowerup.com/ssd-specs/lexar-play-4-tb.d2172
Longsys FORESEE ORCA 4836 Max,1.6TB 3TB 6TB,TLC,U.2,PCIe 4.0 x4,2023,NVMe3108,Yes,6800/2600 MB/s,740000/260000 IOPS,7592TBW,https://www.techpowerup.com/ssd-specs/longsys-foresee-orca-4836-max-1-6-tb.d1835
Longsys FORESEE ORCA 4836 Pro,1.9TB 3.8TB 7.5TB,TLC,U.2,PCIe 4.0 x4,2023,NVMe3108,Yes,6800/2600 MB/s,740000/130000 IOPS,3504TBW,https://www.techpowerup.com/ssd-specs/longsys-foresee-orca-4836-pro-1-9-tb.d1833
Magix Alpha EVO,120GB 240GB 480GB 960GB,TLC,2.5,SATA 6 Gbps,2022,SM2258XT,No,550/520 MB/s,Unknown IOPS,500TBW,https://www.techpowerup.com/ssd-specs/magix-alpha-evo-960-gb.d1142
Mancer Blink X1 (SM2258XT + TLC),240GB 512GB,TLC,2.5,SATA 6 Gbps,2022,SM2258XT,No,530/480 MB/s,70000/80000 IOPS,230TBW,https://www.techpowerup.com/ssd-specs/mancer-blink-x1-512-gb.d1537
Mancer Blink X1 (SM2259XT + TLC),240GB 512GB,TLC,2.5,SATA 6 Gbps,2022,SM2259XT,No,530/480 MB/s,70000/80000 IOPS,230TBW,https://www.techpowerup.com/ssd-specs/mancer-blink-x1-512-gb.d1538
Mancer Blink X1 (YS9082HC + Intel N38A),240GB 512GB,QLC,2.5,SATA 6 Gbps,2022,YS9082HC,No,530/480 MB/s,70000/80000 IOPS,230TBW,https://www.techpowerup.com/ssd-specs/mancer-blink-x1-512-gb.d1536
Mega Electronics Fastro MS200 (SM2262ENG + Micron B17A),512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,Unknown,SM2262ENG,Yes,3400/3000 MB/s,680000/560000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/mega-electronics-fastro-ms200-1-tb.d1333
Memblaze P7946,6TB,TLC,U.2,PCIe 5.0 x4,2023,Bravera,Yes,14000/10000 MB/s,2800000/650000 IOPS,35040TBW,https://www.techpowerup.com/ssd-specs/memblaze-p7946-6-tb.d1582
Memblaze PBlaze5 C916,6.4TB,TLC,Add-In Card,PCIe 3.0 x8,2020,PM8607,Yes,5900/3800 MB/s,1000000/303000 IOPS,35785TBW,https://www.techpowerup.com/ssd-specs/memblaze-pblaze5-c916-6-4-tb.d1590
Memblaze PBlaze5 D510,1.9TB 3.8TB,TLC,U.2,PCIe 3.0 x4,Unknown,PM8632A1-F3EI,Yes,3400/1700 MB/s,510000/60000 IOPS,3504TBW,https://www.techpowerup.com/ssd-specs/memblaze-pblaze5-d510-1-9-tb.d1830
Memblaze PBlaze6 6530,1.9TB 3.8TB 7.5TB,TLC,U.2,PCIe 4.0 x4,2021,NVMe3108,Yes,6800/2700 MB/s,910000/110000 IOPS,5256TBW,https://www.techpowerup.com/ssd-specs/memblaze-pblaze6-6530-1-9-tb.d2007
Memblaze PBlaze7 7940,3.8TB 7.5TB 15TB 31TB,TLC,U.2,PCIe 5.0 x4,2023,Bravera,Yes,14000/10000 MB/s,2800000/400000 IOPS,7008TBW,https://www.techpowerup.com/ssd-specs/memblaze-pblaze7-7940-3-8-tb.d1592
Memblaze PBlaze7 7A40,3.8TB 7.5TB 15TB,TLC,U.2,PCIe 5.0 x4,2024,Zhenyue 510,Yes,14200/5900 MB/s,3300000/280000 IOPS,7008TBW,https://www.techpowerup.com/ssd-specs/memblaze-pblaze7-7a40-3-8-tb.d2187
Meta Quest Pro Embedded SSD,256GB,TLC,Embedded,Unknown,2022,Unknown,No,Unknown/1550 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/meta-quest-pro-embedded-ssd-256-gb.d2180
Micron 2400,512GB 1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,2022,SM2269XT,HMB,4500/3600 MB/s,600000/650000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/micron-2400-1-tb.d803
Micron 2400,512GB 1TB 2TB,QLC,M.2 2242,PCIe 4.0 x4,2022,SM2269XT,HMB,4500/3600 MB/s,600000/650000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/micron-2400-1-tb.d806
Micron 2400,512GB 1TB 2TB,QLC,M.2 2230,PCIe 4.0 x4,2022,SM2269XT,HMB,4500/3600 MB/s,600000/650000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/micron-2400-1-tb.d809
Micron 2550,256GB 512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,5000/4000 MB/s,550000/600000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/micron-2550-1-tb.d1280
Micron 2650,256GB 512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,HMB,7000/6000 MB/s,1000000/1000000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/micron-2650-1-tb.d2133
Micron 3500,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E25,Yes,7000/6900 MB/s,1050000/1150000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/micron-3500-1-tb.d1798
Micron 4600,512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2025,SM2508,Yes,14500/11500 MB/s,1600000/2100000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/micron-4600-1-tb.d2313
Micron 5200 Max,240GB 480GB 960GB 1.9TB,TLC,2.5,SATA 6 Gbps,2018,88SS1074,Yes,540/520 MB/s,95000/75000 IOPS,8760TBW,https://www.techpowerup.com/ssd-specs/micron-5200-max-960-gb.d1840
Micron 5210 ION,960GB 1.9TB 3.8TB 7.5TB,QLC,2.5,SATA 6 Gbps,2018,88SS1074,Yes,540/130 MB/s,40000/7000 IOPS,1402TBW,https://www.techpowerup.com/ssd-specs/micron-5210-ion-960-gb.d1348
Micron 5300 Pro,240GB 480GB,TLC,M.2 2280,SATA 6 Gbps,2019,88SS1074,Yes,540/410 MB/s,85000/36000 IOPS,1324TBW,https://www.techpowerup.com/ssd-specs/micron-5300-pro-480-gb.d2197
Micron 5300 Pro,240GB 480GB 960GB 1.9TB 3.8TB 7.5TB,TLC,2.5,SATA 6 Gbps,2019,88SS1074,Yes,540/520 MB/s,95000/35000 IOPS,2628TBW,https://www.techpowerup.com/ssd-specs/micron-5300-pro-960-gb.d2192
Micron 6550 ION,31TB 61TB,TLC,U.2,PCIe 5.0 x4,2024,Unknown,Yes,12000/5000 MB/s,1600000/70000 IOPS,56064TBW,https://www.techpowerup.com/ssd-specs/micron-6550-ion-31-tb.d2243
Micron 7400 Pro,960GB 1.9TB 3.8TB 7.5TB,TLC,U.3,PCIe 4.0 x4,2021,9AC01,Yes,6500/1000000 MB/s,240000/60000 IOPS,1700TBW,https://www.techpowerup.com/ssd-specs/micron-7400-pro-960-gb.d2230
Micron 7450 Pro,15TB,TLC,U.3,PCIe 4.0 x4,2022,9AC06,Yes,6800/5600 MB/s,1000000/250000 IOPS,28000TBW,https://www.techpowerup.com/ssd-specs/micron-7450-pro-15-tb.d1869
Micron 9100 Max,1.2TB 2.3TB,MLC,U.2,PCIe 3.0 x4,2017,89HF16P04CG3,Yes,2900/1300 MB/s,700000/210000 IOPS,4800TBW,https://www.techpowerup.com/ssd-specs/micron-9100-max-1-2-tb.d1825
Micron 9100 Max,1.2TB 2.3TB,MLC,Add-In Card,PCIe 3.0 x4,2017,89HF16P04CG3,Yes,2900/1300 MB/s,700000/210000 IOPS,4800TBW,https://www.techpowerup.com/ssd-specs/micron-9100-max-1-2-tb.d1823
Micron 9100 Pro,800GB 1.6TB 3TB,MLC,U.2,PCIe 3.0 x4,2017,89HF16P04CG3,Yes,2050/690 MB/s,525000/50000 IOPS,2400TBW,https://www.techpowerup.com/ssd-specs/micron-9100-pro-800-gb.d1826
Micron 9200 ECO,8TB 11TB,TLC,U.2,PCIe 3.0 x4,2016,PM8607,Yes,3150/2300 MB/s,740000/135000 IOPS,11700TBW,https://www.techpowerup.com/ssd-specs/micron-9200-eco-8-tb.d2317
Micron 9300 Pro,3.8TB 7.5TB 15TB,TLC,U.2,PCIe 3.0 x4,2019,PM8607,Yes,3500/3500 MB/s,850000/105000 IOPS,8400TBW,https://www.techpowerup.com/ssd-specs/micron-9300-pro-3-8-tb.d1286
Micron 9400 Max,13TB 26TB,TLC,U.3,PCIe 4.0 x4,2023,NVMe 3016,Yes,7000/7000 MB/s,1600000/600000 IOPS,143100TBW,https://www.techpowerup.com/ssd-specs/micron-9400-max-13-tb.d1498
Micron 9400 Pro,7.5TB 15TB 31TB,TLC,U.3,PCIe 4.0 x4,2023,NVMe 3016,Yes,7000/7000 MB/s,1600000/300000 IOPS,14016TBW,https://www.techpowerup.com/ssd-specs/micron-9400-pro-7-5-tb.d1320
Micron 9550 Pro,3.8TB 7.5TB 15TB 31TB,TLC,U.2,PCIe 5.0 x4,2024,Unknown,Yes,14000/6000 MB/s,2900000/280000 IOPS,7008TBW,https://www.techpowerup.com/ssd-specs/micron-9550-pro-3-8-tb.d2129
Micron M600,128GB 256GB 512GB 1TB,MLC,2.5,SATA 6 Gbps,2014,88SS9189,Yes,560/510 MB/s,100000/88000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/micron-m600-1-tb.d1569
Microsoft Z1000,960GB,TLC,M.2 22110,PCIe 4.0 x4,2020,CNX-2670AA,Yes,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/microsoft-z1000-960-gb.d1948
MiWhole CT100,512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,Unknown,MAP1202A-F1C,HMB,3572/3010 MB/s,472000/388000 IOPS,448TBW,https://www.techpowerup.com/ssd-specs/miwhole-ct100-1-tb.d1501
MiWhole CT200,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,5000/4500 MB/s,Unknown IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/miwhole-ct200-1-tb.d1504
MiWhole CT300,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,7500/6500 MB/s,Unknown IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/miwhole-ct300-1-tb.d1421
MLD M500,1TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E21T,HMB,7000/4700 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/mld-m500-1-tb.d1796
MLD M700,1TB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,Phison E18,Yes,7000/5500 MB/s,350000/700000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/mld-m700-1-tb.d1996
Movespeed SSD (YMTC CDT2A X3-9060),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7450/6500 MB/s,Unknown IOPS,640TBW,https://www.techpowerup.com/ssd-specs/movespeed-ssd-1-tb.d1933
Movespeed SSD (YMTC EET1A X3-9070),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,7450/6500 MB/s,Unknown IOPS,640TBW,https://www.techpowerup.com/ssd-specs/movespeed-ssd-1-tb.d1574
Movespeed SSD N3000 (88SS1100 + TLC),512GB,TLC,M.2 2280,PCIe 3.0 x4,Unknown,88SS1100,Yes,3500/2200 MB/s,300000/278000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/movespeed-ssd-n3000-512-gb.d2201
MSI Spatium M370,1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E15,HMB,2400/1850 MB/s,220000/330000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m370-1-tb.d572
MSI Spatium M390,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E15,HMB,3300/3000 MB/s,420000/550000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m390-1-tb.d566
MSI Spatium M450 (Phison E19 + Kioxia BiCS5),1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E19T,HMB,3600/3000 MB/s,420000/550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m450-1-tb.d1567
MSI Spatium M450 (Phison E19 + Micron B47R),250GB 500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E19T,HMB,3600/3000 MB/s,420000/550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m450-1-tb.d704
MSI Spatium M450 (Phison E19 + SK Hynix V7 512Gb),500GB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E19T,HMB,3600/2300 MB/s,300000/550000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m450-500-gb.d2077
MSI Spatium M461,500GB 1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,5000/3200 MB/s,630000/750000 IOPS,250TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m461-1-tb.d1703
MSI Spatium M470,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,5000/4400 MB/s,600000/600000 IOPS,1600TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m470-1-tb.d564
MSI Spatium M480,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7000/5500 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m480-1-tb.d273
MSI Spatium M480 Play,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7400/6100 MB/s,800000/1000000 IOPS,1275TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m480-play-1-tb.d763
MSI Spatium M480 Pro,2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7400/7000 MB/s,1000000/1000000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m480-pro-2-tb.d1514
MSI Spatium M482,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E27T,HMB,7200/6400 MB/s,1000000/850000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m482-1-tb.d2198
MSI Spatium M560,1TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E31T,HMB,10000/Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m560-1-tb.d2024
MSI Spatium M570 HS,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2022,Phison E26,Yes,9500/8500 MB/s,1300000/1500000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m570-hs-1-tb.d1057
MSI Spatium M570 Pro Frozr,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,11700/9500 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m570-pro-frozr-1-tb.d1843
MSI Spatium M580 Frozr 2TB,2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,14000/12000 MB/s,Unknown IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m580-frozr-2tb-2-tb.d1974
MSI Spatium M580 Frozr 4TB,4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,14100/12600 MB/s,Unknown IOPS,3000TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m580-frozr-4tb-4-tb.d1975
MSI Spatium M580 Frozr Liquid,2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,14000/12000 MB/s,Unknown IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-m580-frozr-liquid-2-tb.d1879
MSI Spatium S270 (Kioxia BiCS5 512Gb),120GB 240GB 480GB,TLC,2.5,SATA 6 Gbps,2023,Phison S11,No,500/450 MB/s,55000/80000 IOPS,250TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-s270-480-gb.d2083
MSI Spatium S270 (Spectek B17A),960GB,TLC,2.5,SATA 6 Gbps,2023,Phison S11,No,500/450 MB/s,55000/80000 IOPS,500TBW,https://www.techpowerup.com/ssd-specs/msi-spatium-s270-960-gb.d2082
Mushkin ALPHA,4TB 8TB,QLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,3200/3000 MB/s,550000/640000 IOPS,900TBW,https://www.techpowerup.com/ssd-specs/mushkin-alpha-4-tb.d765
Mushkin Delta,1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,4700/2100 MB/s,195000/510000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/mushkin-delta-1-tb.d769
Mushkin Gamma,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7175/6800 MB/s,640000/630000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/mushkin-gamma-1-tb.d768
Mushkin Helix-L,1TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2263XT,HMB,2110/1700 MB/s,240000/260000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/mushkin-helix-l-1-tb.d776
Mushkin Pilot-E,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,SM2262ENG,Yes,3500/3000 MB/s,331000/353000 IOPS,650TBW,https://www.techpowerup.com/ssd-specs/mushkin-pilot-e-1-tb.d773
Mushkin Redline Vortex,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7430/5300 MB/s,390000/1085000 IOPS,500TBW,https://www.techpowerup.com/ssd-specs/mushkin-redline-vortex-1-tb.d740
Neo Forza NFP455,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7400/5300 MB/s,450000/900000 IOPS,900TBW,https://www.techpowerup.com/ssd-specs/neo-forza-nfp455-1-tb.d1710
Neo Forza NFP495,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,TC2201,HMB,7500/6500 MB/s,450000/650000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/neo-forza-nfp495-1-tb.d1709
Netac N930e Pro (SM2263XT + SK Hynix V6),128GB 256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2022,SM2263XT,HMB,2130/1720 MB/s,250000/220000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/netac-n930e-pro-1-tb.d1171
Netac N950e Pro,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,SM2262ENG,Yes,3350/2800 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/netac-n950e-pro-1-tb.d737
Netac NV3000 (MAP1202 + SK Hynix V7),1TB,TLC,M.2 2280,PCIe 3.0 x4,2022,MAP1202A-F1C,HMB,3100/2100 MB/s,200000/190000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/netac-nv3000-1-tb.d1677
Netac NV3000 (RTS5766DL + YMTC CDT1B),250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2022,RTS5766DL,HMB,3100/2100 MB/s,200000/190000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/netac-nv3000-1-tb.d746
Netac NV3000 RGB,500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2022,RTS5762,Yes,3400/2000 MB/s,150000/200000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/netac-nv3000-rgb-1-tb.d750
Netac NV5000 (Kioxia BiCS4),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E16,Yes,5000/4400 MB/s,600000/600000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/netac-nv5000-1-tb.d1019
Netac NV5000 (Kioxia BiCS5),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E16,Yes,5000/4400 MB/s,600000/600000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/netac-nv5000-1-tb.d733
Netac NV5000 (TenaFe TC2200 + YMTC CDT1B),500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2023,TC2200,HMB,4800/4600 MB/s,400000/530000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/netac-nv5000-1-tb.d1727
Netac NV5000-N,500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,TC2200,HMB,4800/4600 MB/s,400000/530000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/netac-nv5000-n-1-tb.d1170
Netac NV5000-T,500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,TC2200,HMB,4800/4600 MB/s,400000/530000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/netac-nv5000-t-1-tb.d1065
Netac NV7000 (E18 + B47R),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7200/5500 MB/s,740000/740000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/netac-nv7000-1-tb.d731
Netac NV7000 (IG5236 + Micron B47R),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7200/5500 MB/s,740000/740000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/netac-nv7000-1-tb.d1039
Netac NV7000 (IG5236 + SK Hynix),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7200/5500 MB/s,460000/920000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/netac-nv7000-1-tb.d896
Netac NV7000 (IG5236 + YMTC CDT1B),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7200/5500 MB/s,740000/740000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/netac-nv7000-1-tb.d894
Netac NV7000-T,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7300/6600 MB/s,1000000/700000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/netac-nv7000-t-1-tb.d1510
Netac ZX20,1TB,TLC,Unknown,Unknown,2022,SM2320G,No,2000/1700 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/netac-zx20-1-tb.d1725
Nextorage G Series,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7300/6000 MB/s,750000/1000000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/nextorage-g-series-1-tb.d1940
Nextorage G Series (Kioxia BiCS5 HDR 1Tb),8TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7300/6600 MB/s,900000/1000000 IOPS,10000TBW,https://www.techpowerup.com/ssd-specs/nextorage-g-series-8-tb.d1941
Nextorage Gen5 SSD,1TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,10000/10000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/nextorage-gen5-ssd-1-tb.d1270
Nextorage NE5N Series,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,9500/8500 MB/s,1300000/1400000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/nextorage-ne5n-series-1-tb.d1470
Nextorage NE5N Series (w/ Heatsink),1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,9500/8500 MB/s,1300000/1400000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/nextorage-ne5n-series-w-heatsink-1-tb.d1473
OCZ ARC 100,120GB 240GB 480GB,MLC,2.5,SATA 6 Gbps,2014,Barefoot 3 M10,Yes,490/430 MB/s,75000/80000 IOPS,22TBW,https://www.techpowerup.com/ssd-specs/ocz-arc-100-480-gb.d1812
OCZ Vertex 450,128GB 256GB 512GB,MLC,2.5,SATA 6 Gbps,2013,Barefoot 3 M10,Yes,540/530 MB/s,85000/90000 IOPS,22TBW,https://www.techpowerup.com/ssd-specs/ocz-vertex-450-512-gb.d1814
OCZ Vertex 460,120GB 240GB 480GB,MLC,2.5,SATA 6 Gbps,2014,Barefoot 3 M10,Yes,545/525 MB/s,95000/90000 IOPS,22TBW,https://www.techpowerup.com/ssd-specs/ocz-vertex-460-480-gb.d1298
Orico J-10,512GB 1TB 2TB 4TB,QLC,M.2 2280,PCIe 3.0 x4,Unknown,RTS5765DL,HMB,3100/1900 MB/s,Unknown IOPS,300TBW,https://www.techpowerup.com/ssd-specs/orico-j-10-1-tb.d2039
Orico J-20,512GB 1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,2023,RTS5772DL,HMB,5000/4700 MB/s,Unknown IOPS,300TBW,https://www.techpowerup.com/ssd-specs/orico-j-20-1-tb.d2043
Orico O7000 (YMTC QLC X3-6070),2TB,QLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,7000/6500 MB/s,Unknown IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/orico-o7000-2-tb.d2200
Orico O7000 (YMTC TLC EET1A X3-9070),512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,7000/6500 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/orico-o7000-1-tb.d2154
